disorder_id,orpha_code,name,disorder_type,disorder_group,prevalence_type,prevalence_qualification,prevalence_class,val_moy,prevalence_geographic,prevalence_validation_status,source
17601,166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Disorder,Cases/families,Case(s),,4.0,Worldwide,Validated,11389160[PMID]_9689990[PMID]_ [EXPERT]
17601,166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_11389160[PMID]_9689990[PMID]
2,58,Alexander disease,Disease,Disorder,Annual incidence,Value and class,<1 / 1 000 000,0.037,Japan,Validated,21533827[PMID]_[EXPERT]
2,58,Alexander disease,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
17603,166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Disorder,Cases/families,Case(s),,2.0,Worldwide,Validated,15523498[PMID]
17603,166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_15523498[PMID]
3,61,Alpha-mannosidosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.1,Europe,Validated,European Medicines Agency 2005[INST]
3,61,Alpha-mannosidosis,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.09,Australia,Validated,9918480[PMID]
3,61,Alpha-mannosidosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.13,Norway,Not yet validated,7900112[PMID]
3,61,Alpha-mannosidosis,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.09,Netherlands,Validated,10480370[PMID]
3,61,Alpha-mannosidosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.12,Portugal,Validated,14685153[PMID]
3,61,Alpha-mannosidosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.38,Czech Republic,Validated,20490927[PMID]
3,61,Alpha-mannosidosis,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.07,Sweden,Validated,25274184[PMID]
17602,166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Disorder,Cases/families,Case(s),,3.0,Worldwide,Validated,15523498[PMID]
17602,166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_15523498[PMID]
17605,166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Disorder,Cases/families,Case(s),,2.0,Worldwide,Validated,6979929[PMID]
17605,166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_6979929[PMID]
