disorder_id,orpha_code,name,target_disorder_code,target_disorder_name,association_type
17601,166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,93419,Rare bone disease,Preferential parent
2,58,Alexander disease,98006,Rare neurologic disease,Preferential parent
17603,166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,93419,Rare bone disease,Preferential parent
3,61,Alpha-mannosidosis,68367,Rare inborn errors of metabolism,Preferential parent
17602,166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,93419,Rare bone disease,Preferential parent
17605,166038,"Metaphyseal chondrodysplasia, Kaitila type",93419,Rare bone disease,Preferential parent
5,93,Aspartylglucosaminuria,68367,Rare inborn errors of metabolism,Preferential parent
17604,166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,93419,Rare bone disease,Preferential parent
6,585,Multiple sulfatase deficiency,68367,Rare inborn errors of metabolism,Preferential parent
7,118,Beta-mannosidosis,68367,Rare inborn errors of metabolism,Preferential parent
8,141,Canavan disease,98006,Rare neurologic disease,Preferential parent
17608,166063,Pontocerebellar hypoplasia type 4,93890,Rare developmental defect during embryogenesis,Preferential parent
17611,166078,Von Willebrand disease type 1,97992,Rare hematologic disease,Preferential parent
17610,166073,Pontocerebellar hypoplasia type 6,93890,Rare developmental defect during embryogenesis,Preferential parent
11,213,Cystinosis,68367,Rare inborn errors of metabolism,Preferential parent
17613,166084,Von Willebrand disease type 2A,97992,Rare hematologic disease,Preferential parent
12,333,Farber disease,68367,Rare inborn errors of metabolism,Preferential parent
17612,166081,Von Willebrand disease type 2,97992,Rare hematologic disease,Preferential parent
13,349,Fucosidosis,68367,Rare inborn errors of metabolism,Preferential parent
17615,166090,Von Willebrand disease type 2M,97992,Rare hematologic disease,Preferential parent
14,365,Glycogen storage disease due to acid maltase deficiency,68367,Rare inborn errors of metabolism,Preferential parent
17614,166087,Von Willebrand disease type 2B,97992,Rare hematologic disease,Preferential parent
15,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,68367,Rare inborn errors of metabolism,Preferential parent
17616,166093,Von Willebrand disease type 2N,97992,Rare hematologic disease,Preferential parent
17,368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,68367,Rare inborn errors of metabolism,Preferential parent
17617,166096,Von Willebrand disease type 3,97992,Rare hematologic disease,Preferential parent
16,367,Glycogen storage disease due to glycogen branching enzyme deficiency,68367,Rare inborn errors of metabolism,Preferential parent
17618,166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,93419,Rare bone disease,Preferential parent
19,371,Glycogen storage disease due to muscle phosphofructokinase deficiency,68367,Rare inborn errors of metabolism,Preferential parent
17619,166105,FASTKD2-related infantile mitochondrial encephalomyopathy,98006,Rare neurologic disease,Preferential parent
18,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,68367,Rare inborn errors of metabolism,Preferential parent
21,447,Paroxysmal nocturnal hemoglobinuria,97992,Rare hematologic disease,Preferential parent
17620,166108,Birk-Barel syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17621,166113,Bazex syndrome,89826,Rare skin disease,Preferential parent
23,535,Rare cutaneous lupus erythematosus,89826,Rare skin disease,Preferential parent
17622,166119,Isolated osteopoikilosis,93419,Rare bone disease,Preferential parent
22,487,Krabbe disease,68367,Rare inborn errors of metabolism,Preferential parent
17624,166260,Dentinogenesis imperfecta type 2,98026,Rare odontologic disease,Preferential parent
17625,166265,Dentinogenesis imperfecta type 3,98026,Rare odontologic disease,Preferential parent
24,583,Mucopolysaccharidosis type 6,68367,Rare inborn errors of metabolism,Preferential parent
17626,166272,Odontochondrodysplasia,93419,Rare bone disease,Preferential parent
27,576,Mucolipidosis type II,68367,Rare inborn errors of metabolism,Preferential parent
17627,166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,93419,Rare bone disease,Preferential parent
26,812,Sialidosis type 1,68367,Rare inborn errors of metabolism,Preferential parent
17628,166282,Hereditary sick sinus syndrome,97929,Rare cardiac disease,Preferential parent
29,578,Mucolipidosis type IV,68367,Rare inborn errors of metabolism,Preferential parent
17629,166286,Porokeratotic eccrine ostial and dermal duct nevus,89826,Rare skin disease,Preferential parent
28,577,Mucolipidosis type III,68367,Rare inborn errors of metabolism,Preferential parent
17630,166291,Dirofilariasis,68416,Rare infectious disease,Preferential parent
17635,166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,98006,Rare neurologic disease,Preferential parent
32,2912,Poliomyelitis,68416,Rare infectious disease,Preferential parent
38,796,Sandhoff disease,68367,Rare inborn errors of metabolism,Preferential parent
17639,166409,Photosensitive occipital lobe epilepsy,98006,Rare neurologic disease,Preferential parent
39,801,Scleroderma,89826,Rare skin disease,Preferential parent
17636,166311,Benign partial infantile seizures,98006,Rare neurologic disease,Preferential parent
42,461,Recessive X-linked ichthyosis,89826,Rare skin disease,Preferential parent
17643,166421,Orgasm-induced seizures,98006,Rare neurologic disease,Preferential parent
17642,166418,Eating reflex epilepsy,98006,Rare neurologic disease,Preferential parent
17641,166415,Audiogenic seizures,98006,Rare neurologic disease,Preferential parent
40,584,Mucopolysaccharidosis type 7,68367,Rare inborn errors of metabolism,Preferential parent
17640,166412,Hot water reflex epilepsy,98006,Rare neurologic disease,Preferential parent
17647,166433,Epilepsy with reading-induced seizures,98006,Rare neurologic disease,Preferential parent
17646,166430,Micturation-induced seizures,98006,Rare neurologic disease,Preferential parent
44,881,Turner syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17645,166427,Startle epilepsy,98006,Rare neurologic disease,Preferential parent
17644,166424,Thinking seizures,98006,Rare neurologic disease,Preferential parent
45,95,Friedreich ataxia,98006,Rare neurologic disease,Preferential parent
17650,166466,Neurocutaneous syndrome with epilepsy,98006,Rare neurologic disease,Preferential parent
51,848,Beta-thalassemia,97992,Rare hematologic disease,Preferential parent
17651,166469,Chromosomal anomaly with epilepsy as a major feature,98006,Rare neurologic disease,Preferential parent
50,846,Alpha-thalassemia,97992,Rare hematologic disease,Preferential parent
