disorder_id,orpha_code,name,disorder_type,disorder_group,expert_link,age_of_onset,type_of_inheritance
17601,166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024,Infancy|Neonatal,Autosomal recessive
2,58,Alexander disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58,All ages,Autosomal dominant
17603,166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166032,Childhood|Infancy,
3,61,Alpha-mannosidosis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,Childhood|Infancy|Neonatal,Autosomal recessive
17602,166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166029,Childhood,
17605,166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166038,Neonatal,
5,93,Aspartylglucosaminuria,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,Childhood,Autosomal recessive
17604,166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035,Childhood|Infancy,
6,585,Multiple sulfatase deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585,Adolescent|Antenatal|Childhood|Infancy|Neonatal,Autosomal recessive
7,118,Beta-mannosidosis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,Adolescent|Adult|Childhood|Infancy|Neonatal,Autosomal recessive
8,141,Canavan disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141,Childhood|Infancy|Neonatal,Autosomal recessive
