disorder_id,orpha_code,disorder_name,gene_symbol,gene_name,gene_type,gene_locus,association_type,association_status,source_of_validation
17601,166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,KIF7,kinesin family member 7,gene with protein product,15q26.1,Disease-causing germline mutation(s) in,Assessed,22587682[PMID]
5,93,Aspartylglucosaminuria,AGA,aspartylglucosaminidase,gene with protein product,4q34.3,Disease-causing germline mutation(s) in,Assessed,11309371[PMID]
17604,166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,CWC27,CWC27 spliceosome associated cyclophilin,gene with protein product,5q12.3,Disease-causing germline mutation(s) in,Assessed,28285769[PMID]
6,585,Multiple sulfatase deficiency,SUMF1,sulfatase modifying factor 1,gene with protein product,3p26.1,Disease-causing germline mutation(s) in,Assessed,17657823[PMID]
7,118,Beta-mannosidosis,MANBA,mannosidase beta,gene with protein product,4q24,Disease-causing germline mutation(s) in,Assessed,18980795[PMID]
17608,166063,Pontocerebellar hypoplasia type 4,TSEN54,tRNA splicing endonuclease subunit 54,gene with protein product,17q25.1,Disease-causing germline mutation(s) in,Assessed,
17611,166078,Von Willebrand disease type 1,VWF,von Willebrand factor,gene with protein product,12p13.31,Disease-causing germline mutation(s) in,Assessed,20301765[PMID]
17610,166073,Pontocerebellar hypoplasia type 6,RARS2,"arginyl-tRNA synthetase 2, mitochondrial",gene with protein product,6q15,Disease-causing germline mutation(s) in,Assessed,
17613,166084,Von Willebrand disease type 2A,VWF,von Willebrand factor,gene with protein product,12p13.31,Disease-causing germline mutation(s) in,Assessed,20301765[PMID]
12,333,Farber disease,ASAH1,N-acylsphingosine amidohydrolase 1,gene with protein product,8p22,Disease-causing germline mutation(s) in,Assessed,24355074[PMID]
13,349,Fucosidosis,FUCA1,alpha-L-fucosidase 1,gene with protein product,1p36.11,Disease-causing germline mutation(s) in,Assessed,10094192[PMID]
17615,166090,Von Willebrand disease type 2M,VWF,von Willebrand factor,gene with protein product,12p13.31,Disease-causing germline mutation(s) in,Assessed,20301765[PMID]
17614,166087,Von Willebrand disease type 2B,VWF,von Willebrand factor,gene with protein product,12p13.31,Disease-causing germline mutation(s) in,Assessed,20301765[PMID]
15,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,AGL,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase",gene with protein product,1p21.2,Disease-causing germline mutation(s) in,Assessed,10571954[PMID]_17908927[PMID]
17616,166093,Von Willebrand disease type 2N,VWF,von Willebrand factor,gene with protein product,12p13.31,Disease-causing germline mutation(s) in,Assessed,20301765[PMID]
17,368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,PYGM,"glycogen phosphorylase, muscle associated",gene with protein product,11q13.1,Disease-causing germline mutation(s) in,Assessed,
17617,166096,Von Willebrand disease type 3,VWF,von Willebrand factor,gene with protein product,12p13.31,Disease-causing germline mutation(s) in,Assessed,20301765[PMID]
17618,166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,COL2A1,collagen type II alpha 1 chain,gene with protein product,12q13.11,Candidate gene tested in,Not yet assessed,16189708[PMID]_21438135[PMID]
17618,166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,COL11A2,collagen type XI alpha 2 chain,gene with protein product,6p21.32,Disease-causing germline mutation(s) in,Assessed,
19,371,Glycogen storage disease due to muscle phosphofructokinase deficiency,PFKM,"phosphofructokinase, muscle",gene with protein product,12q13.11,Disease-causing germline mutation(s) in,Assessed,
17619,166105,FASTKD2-related infantile mitochondrial encephalomyopathy,FASTKD2,FAST kinase domains 2,gene with protein product,2q33.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,18771761[PMID]
18,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,PYGL,glycogen phosphorylase L,gene with protein product,14q22.1,Disease-causing germline mutation(s) in,Assessed,
21,447,Paroxysmal nocturnal hemoglobinuria,PIGA,phosphatidylinositol glycan anchor biosynthesis class A,gene with protein product,Xp22.2,Disease-causing somatic mutation(s) in,Assessed,22305531[PMID]
17620,166108,Birk-Barel syndrome,KCNK9,potassium two pore domain channel subfamily K member 9,gene with protein product,8q24.3,Disease-causing germline mutation(s) in,Assessed,18678320[PMID]
17622,166119,Isolated osteopoikilosis,LEMD3,LEM domain containing 3,gene with protein product,12q14.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,26694706[PMID]
17624,166260,Dentinogenesis imperfecta type 2,DSPP,dentin sialophosphoprotein,gene with protein product,4q22.1,Disease-causing germline mutation(s) in,Assessed,
17625,166265,Dentinogenesis imperfecta type 3,DSPP,dentin sialophosphoprotein,gene with protein product,4q22.1,Disease-causing germline mutation(s) in,Assessed,
